Id,DateTime,StatusCode,StatusDescription,HttpMethod,AbsoluteUri,PathInfo,RequestBody,RequestDto,UserAuthId,SessionId,IpAddress,ForwardedFor,Referer,Headers,FormData,Items,Session,ResponseDto,ErrorResponse,ExceptionSource,ExceptionData,RequestDuration,Meta
1,2019-07-03T03:21:34.144Z,200,OK,GET,http://localhost:51716/resources,/resources,,"{}",,w3bSlTaZ12TMsPmY5E1E,::1,,http://localhost:51716/swagger-ui/,"{Connection:keep-alive,Accept:""application/json;charset=utf-8,*/*"",Accept-Encoding:""gzip, deflate, br"",Accept-Language:""zh-CN,zh;q=0.9"",Cookie:ss-pid=PkfTWmLvg8l6Dm1UuNGj; ASP.NET_SessionId=jxccy1no004dita0vfgbsfvi; .AspNet.ApplicationCookie=matjucXY-gSVq1i6CcBMfN3cg6-i3fe7IdVQvDSVwQ0IN42etzHz22AZtXTY9GswTO_qiPiqphkAzt6eqxSJ9KKgW7sERXc7RVToJNHQEkifnCYQzckqGYPxwL4cAkZnJPBnJfJNWkzEImaimbO-cBLIE8LZs_dMsLddPpLv0w_wv1oei7y3vc97WYOzA7Nyl8D3js7wXffUEC1rfrtwaR1mcvNDWQvzlxqgZ6BA89d8RLlw01V30FibqQZB96zAaJkuyUDeZzc952D8w-PYg_c77zfyNQCHlCKJaWGLPsmiFlAMEenWrjkBS2iQvZS-5BHKhcV09c4z7REwbekhfB6d9kveeMDOxBHjrv1XEuLPUG9FnsTnTp8HWXF6pVuKhcVMBDj5n3oxL3VoXw33srJFrJZuxGaLsFg6ochivgteHNaW2MvrGsL3aX-PFqOQwJsRkw4633DBiCZjTNy3GbVD2lTH42bVgH0YmLtiK4_bioKJwlaYYjqDiHZOUmvQg0G9NOLVBiXsLAFsZ0K0pA; ss-id=w3bSlTaZ12TMsPmY5E1E,Host:""localhost:51716"",Referer:""http://localhost:51716/swagger-ui/"",User-Agent:""Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36""}","{}","{AspSessionIDManagerInitializeRequestCalled:True,__route:ServiceStack.Host.RestPath,_requestDurationStopwatch:System.Diagnostics.Stopwatch,_logged:True}",,,,,,PT0.0073423S,
2,2019-07-03T03:21:34.201Z,200,OK,GET,http://localhost:51716/resource/UploadAssignData,/resource/UploadAssignData,,"{name:UploadAssignData}",,w3bSlTaZ12TMsPmY5E1E,::1,,http://localhost:51716/swagger-ui/,"{Connection:keep-alive,Accept:""application/json;charset=utf-8,*/*"",Accept-Encoding:""gzip, deflate, br"",Accept-Language:""zh-CN,zh;q=0.9"",Cookie:ss-pid=PkfTWmLvg8l6Dm1UuNGj; ASP.NET_SessionId=jxccy1no004dita0vfgbsfvi; .AspNet.ApplicationCookie=matjucXY-gSVq1i6CcBMfN3cg6-i3fe7IdVQvDSVwQ0IN42etzHz22AZtXTY9GswTO_qiPiqphkAzt6eqxSJ9KKgW7sERXc7RVToJNHQEkifnCYQzckqGYPxwL4cAkZnJPBnJfJNWkzEImaimbO-cBLIE8LZs_dMsLddPpLv0w_wv1oei7y3vc97WYOzA7Nyl8D3js7wXffUEC1rfrtwaR1mcvNDWQvzlxqgZ6BA89d8RLlw01V30FibqQZB96zAaJkuyUDeZzc952D8w-PYg_c77zfyNQCHlCKJaWGLPsmiFlAMEenWrjkBS2iQvZS-5BHKhcV09c4z7REwbekhfB6d9kveeMDOxBHjrv1XEuLPUG9FnsTnTp8HWXF6pVuKhcVMBDj5n3oxL3VoXw33srJFrJZuxGaLsFg6ochivgteHNaW2MvrGsL3aX-PFqOQwJsRkw4633DBiCZjTNy3GbVD2lTH42bVgH0YmLtiK4_bioKJwlaYYjqDiHZOUmvQg0G9NOLVBiXsLAFsZ0K0pA; ss-id=w3bSlTaZ12TMsPmY5E1E,Host:""localhost:51716"",Referer:""http://localhost:51716/swagger-ui/"",User-Agent:""Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36""}","{}","{AspSessionIDManagerInitializeRequestCalled:True,__route:ServiceStack.Host.RestPath,_requestDurationStopwatch:System.Diagnostics.Stopwatch,_logged:True}",,,,,,PT0.0179686S,
4,2019-07-03T03:21:34.201Z,200,OK,GET,http://localhost:51716/resource/UploadAttachment,/resource/UploadAttachment,,"{name:UploadAttachment}",,w3bSlTaZ12TMsPmY5E1E,::1,,http://localhost:51716/swagger-ui/,"{Connection:keep-alive,Accept:""application/json;charset=utf-8,*/*"",Accept-Encoding:""gzip, deflate, br"",Accept-Language:""zh-CN,zh;q=0.9"",Cookie:ss-pid=PkfTWmLvg8l6Dm1UuNGj; ASP.NET_SessionId=jxccy1no004dita0vfgbsfvi; .AspNet.ApplicationCookie=matjucXY-gSVq1i6CcBMfN3cg6-i3fe7IdVQvDSVwQ0IN42etzHz22AZtXTY9GswTO_qiPiqphkAzt6eqxSJ9KKgW7sERXc7RVToJNHQEkifnCYQzckqGYPxwL4cAkZnJPBnJfJNWkzEImaimbO-cBLIE8LZs_dMsLddPpLv0w_wv1oei7y3vc97WYOzA7Nyl8D3js7wXffUEC1rfrtwaR1mcvNDWQvzlxqgZ6BA89d8RLlw01V30FibqQZB96zAaJkuyUDeZzc952D8w-PYg_c77zfyNQCHlCKJaWGLPsmiFlAMEenWrjkBS2iQvZS-5BHKhcV09c4z7REwbekhfB6d9kveeMDOxBHjrv1XEuLPUG9FnsTnTp8HWXF6pVuKhcVMBDj5n3oxL3VoXw33srJFrJZuxGaLsFg6ochivgteHNaW2MvrGsL3aX-PFqOQwJsRkw4633DBiCZjTNy3GbVD2lTH42bVgH0YmLtiK4_bioKJwlaYYjqDiHZOUmvQg0G9NOLVBiXsLAFsZ0K0pA; ss-id=w3bSlTaZ12TMsPmY5E1E,Host:""localhost:51716"",Referer:""http://localhost:51716/swagger-ui/"",User-Agent:""Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36""}","{}","{AspSessionIDManagerInitializeRequestCalled:True,__route:ServiceStack.Host.RestPath,_requestDurationStopwatch:System.Diagnostics.Stopwatch,_logged:True}",,,,,,PT0.0179644S,
3,2019-07-03T03:21:34.201Z,200,OK,GET,http://localhost:51716/resource/UploadUnifiedData,/resource/UploadUnifiedData,,"{name:UploadUnifiedData}",,w3bSlTaZ12TMsPmY5E1E,::1,,http://localhost:51716/swagger-ui/,"{Connection:keep-alive,Accept:""application/json;charset=utf-8,*/*"",Accept-Encoding:""gzip, deflate, br"",Accept-Language:""zh-CN,zh;q=0.9"",Cookie:ss-pid=PkfTWmLvg8l6Dm1UuNGj; ASP.NET_SessionId=jxccy1no004dita0vfgbsfvi; .AspNet.ApplicationCookie=matjucXY-gSVq1i6CcBMfN3cg6-i3fe7IdVQvDSVwQ0IN42etzHz22AZtXTY9GswTO_qiPiqphkAzt6eqxSJ9KKgW7sERXc7RVToJNHQEkifnCYQzckqGYPxwL4cAkZnJPBnJfJNWkzEImaimbO-cBLIE8LZs_dMsLddPpLv0w_wv1oei7y3vc97WYOzA7Nyl8D3js7wXffUEC1rfrtwaR1mcvNDWQvzlxqgZ6BA89d8RLlw01V30FibqQZB96zAaJkuyUDeZzc952D8w-PYg_c77zfyNQCHlCKJaWGLPsmiFlAMEenWrjkBS2iQvZS-5BHKhcV09c4z7REwbekhfB6d9kveeMDOxBHjrv1XEuLPUG9FnsTnTp8HWXF6pVuKhcVMBDj5n3oxL3VoXw33srJFrJZuxGaLsFg6ochivgteHNaW2MvrGsL3aX-PFqOQwJsRkw4633DBiCZjTNy3GbVD2lTH42bVgH0YmLtiK4_bioKJwlaYYjqDiHZOUmvQg0G9NOLVBiXsLAFsZ0K0pA; ss-id=w3bSlTaZ12TMsPmY5E1E,Host:""localhost:51716"",Referer:""http://localhost:51716/swagger-ui/"",User-Agent:""Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36""}","{}","{AspSessionIDManagerInitializeRequestCalled:True,__route:ServiceStack.Host.RestPath,_requestDurationStopwatch:System.Diagnostics.Stopwatch,_logged:True}",,,,,,PT0.0147262S,
5,2019-07-03T03:21:34.202Z,200,OK,GET,http://localhost:51716/resource/UploadBatchAttachment,/resource/UploadBatchAttachment,,"{name:UploadBatchAttachment}",,w3bSlTaZ12TMsPmY5E1E,::1,,http://localhost:51716/swagger-ui/,"{Connection:keep-alive,Accept:""application/json;charset=utf-8,*/*"",Accept-Encoding:""gzip, deflate, br"",Accept-Language:""zh-CN,zh;q=0.9"",Cookie:ss-pid=PkfTWmLvg8l6Dm1UuNGj; ASP.NET_SessionId=jxccy1no004dita0vfgbsfvi; .AspNet.ApplicationCookie=matjucXY-gSVq1i6CcBMfN3cg6-i3fe7IdVQvDSVwQ0IN42etzHz22AZtXTY9GswTO_qiPiqphkAzt6eqxSJ9KKgW7sERXc7RVToJNHQEkifnCYQzckqGYPxwL4cAkZnJPBnJfJNWkzEImaimbO-cBLIE8LZs_dMsLddPpLv0w_wv1oei7y3vc97WYOzA7Nyl8D3js7wXffUEC1rfrtwaR1mcvNDWQvzlxqgZ6BA89d8RLlw01V30FibqQZB96zAaJkuyUDeZzc952D8w-PYg_c77zfyNQCHlCKJaWGLPsmiFlAMEenWrjkBS2iQvZS-5BHKhcV09c4z7REwbekhfB6d9kveeMDOxBHjrv1XEuLPUG9FnsTnTp8HWXF6pVuKhcVMBDj5n3oxL3VoXw33srJFrJZuxGaLsFg6ochivgteHNaW2MvrGsL3aX-PFqOQwJsRkw4633DBiCZjTNy3GbVD2lTH42bVgH0YmLtiK4_bioKJwlaYYjqDiHZOUmvQg0G9NOLVBiXsLAFsZ0K0pA; ss-id=w3bSlTaZ12TMsPmY5E1E,Host:""localhost:51716"",Referer:""http://localhost:51716/swagger-ui/"",User-Agent:""Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36""}","{}","{AspSessionIDManagerInitializeRequestCalled:True,__route:ServiceStack.Host.RestPath,_requestDurationStopwatch:System.Diagnostics.Stopwatch,_logged:True}",,,,,,PT0.0187444S,
6,2019-07-03T07:12:05.268Z,200,OK,GET,http://localhost:51716/resources,/resources,,"{}",,w3bSlTaZ12TMsPmY5E1E,::1,,http://localhost:51716/swagger-ui/,"{Connection:keep-alive,Accept:""application/json;charset=utf-8,*/*"",Accept-Encoding:""gzip, deflate, br"",Accept-Language:""zh-CN,zh;q=0.9"",Cookie:ss-pid=PkfTWmLvg8l6Dm1UuNGj; ASP.NET_SessionId=jxccy1no004dita0vfgbsfvi; .AspNet.ApplicationCookie=matjucXY-gSVq1i6CcBMfN3cg6-i3fe7IdVQvDSVwQ0IN42etzHz22AZtXTY9GswTO_qiPiqphkAzt6eqxSJ9KKgW7sERXc7RVToJNHQEkifnCYQzckqGYPxwL4cAkZnJPBnJfJNWkzEImaimbO-cBLIE8LZs_dMsLddPpLv0w_wv1oei7y3vc97WYOzA7Nyl8D3js7wXffUEC1rfrtwaR1mcvNDWQvzlxqgZ6BA89d8RLlw01V30FibqQZB96zAaJkuyUDeZzc952D8w-PYg_c77zfyNQCHlCKJaWGLPsmiFlAMEenWrjkBS2iQvZS-5BHKhcV09c4z7REwbekhfB6d9kveeMDOxBHjrv1XEuLPUG9FnsTnTp8HWXF6pVuKhcVMBDj5n3oxL3VoXw33srJFrJZuxGaLsFg6ochivgteHNaW2MvrGsL3aX-PFqOQwJsRkw4633DBiCZjTNy3GbVD2lTH42bVgH0YmLtiK4_bioKJwlaYYjqDiHZOUmvQg0G9NOLVBiXsLAFsZ0K0pA; ss-id=w3bSlTaZ12TMsPmY5E1E,Host:""localhost:51716"",Referer:""http://localhost:51716/swagger-ui/"",User-Agent:""Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36""}","{}","{AspSessionIDManagerInitializeRequestCalled:True,__route:ServiceStack.Host.RestPath,_requestDurationStopwatch:System.Diagnostics.Stopwatch,_logged:True}",,,,,,PT0.009304S,
9,2019-07-03T07:12:05.35Z,200,OK,GET,http://localhost:51716/resource/UploadAssignData,/resource/UploadAssignData,,"{name:UploadAssignData}",,w3bSlTaZ12TMsPmY5E1E,::1,,http://localhost:51716/swagger-ui/,"{Connection:keep-alive,Accept:""application/json;charset=utf-8,*/*"",Accept-Encoding:""gzip, deflate, br"",Accept-Language:""zh-CN,zh;q=0.9"",Cookie:ss-pid=PkfTWmLvg8l6Dm1UuNGj; ASP.NET_SessionId=jxccy1no004dita0vfgbsfvi; .AspNet.ApplicationCookie=matjucXY-gSVq1i6CcBMfN3cg6-i3fe7IdVQvDSVwQ0IN42etzHz22AZtXTY9GswTO_qiPiqphkAzt6eqxSJ9KKgW7sERXc7RVToJNHQEkifnCYQzckqGYPxwL4cAkZnJPBnJfJNWkzEImaimbO-cBLIE8LZs_dMsLddPpLv0w_wv1oei7y3vc97WYOzA7Nyl8D3js7wXffUEC1rfrtwaR1mcvNDWQvzlxqgZ6BA89d8RLlw01V30FibqQZB96zAaJkuyUDeZzc952D8w-PYg_c77zfyNQCHlCKJaWGLPsmiFlAMEenWrjkBS2iQvZS-5BHKhcV09c4z7REwbekhfB6d9kveeMDOxBHjrv1XEuLPUG9FnsTnTp8HWXF6pVuKhcVMBDj5n3oxL3VoXw33srJFrJZuxGaLsFg6ochivgteHNaW2MvrGsL3aX-PFqOQwJsRkw4633DBiCZjTNy3GbVD2lTH42bVgH0YmLtiK4_bioKJwlaYYjqDiHZOUmvQg0G9NOLVBiXsLAFsZ0K0pA; ss-id=w3bSlTaZ12TMsPmY5E1E,Host:""localhost:51716"",Referer:""http://localhost:51716/swagger-ui/"",User-Agent:""Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36""}","{}","{AspSessionIDManagerInitializeRequestCalled:True,__route:ServiceStack.Host.RestPath,_requestDurationStopwatch:System.Diagnostics.Stopwatch,_logged:True}",,,,,,PT0.0197389S,
8,2019-07-03T07:12:05.35Z,200,OK,GET,http://localhost:51716/resource/UploadUnifiedData,/resource/UploadUnifiedData,,"{name:UploadUnifiedData}",,w3bSlTaZ12TMsPmY5E1E,::1,,http://localhost:51716/swagger-ui/,"{Connection:keep-alive,Accept:""application/json;charset=utf-8,*/*"",Accept-Encoding:""gzip, deflate, br"",Accept-Language:""zh-CN,zh;q=0.9"",Cookie:ss-pid=PkfTWmLvg8l6Dm1UuNGj; ASP.NET_SessionId=jxccy1no004dita0vfgbsfvi; .AspNet.ApplicationCookie=matjucXY-gSVq1i6CcBMfN3cg6-i3fe7IdVQvDSVwQ0IN42etzHz22AZtXTY9GswTO_qiPiqphkAzt6eqxSJ9KKgW7sERXc7RVToJNHQEkifnCYQzckqGYPxwL4cAkZnJPBnJfJNWkzEImaimbO-cBLIE8LZs_dMsLddPpLv0w_wv1oei7y3vc97WYOzA7Nyl8D3js7wXffUEC1rfrtwaR1mcvNDWQvzlxqgZ6BA89d8RLlw01V30FibqQZB96zAaJkuyUDeZzc952D8w-PYg_c77zfyNQCHlCKJaWGLPsmiFlAMEenWrjkBS2iQvZS-5BHKhcV09c4z7REwbekhfB6d9kveeMDOxBHjrv1XEuLPUG9FnsTnTp8HWXF6pVuKhcVMBDj5n3oxL3VoXw33srJFrJZuxGaLsFg6ochivgteHNaW2MvrGsL3aX-PFqOQwJsRkw4633DBiCZjTNy3GbVD2lTH42bVgH0YmLtiK4_bioKJwlaYYjqDiHZOUmvQg0G9NOLVBiXsLAFsZ0K0pA; ss-id=w3bSlTaZ12TMsPmY5E1E,Host:""localhost:51716"",Referer:""http://localhost:51716/swagger-ui/"",User-Agent:""Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36""}","{}","{AspSessionIDManagerInitializeRequestCalled:True,__route:ServiceStack.Host.RestPath,_requestDurationStopwatch:System.Diagnostics.Stopwatch,_logged:True}",,,,,,PT0.019914S,
7,2019-07-03T07:12:05.35Z,200,OK,GET,http://localhost:51716/resource/UploadAttachment,/resource/UploadAttachment,,"{name:UploadAttachment}",,w3bSlTaZ12TMsPmY5E1E,::1,,http://localhost:51716/swagger-ui/,"{Connection:keep-alive,Accept:""application/json;charset=utf-8,*/*"",Accept-Encoding:""gzip, deflate, br"",Accept-Language:""zh-CN,zh;q=0.9"",Cookie:ss-pid=PkfTWmLvg8l6Dm1UuNGj; ASP.NET_SessionId=jxccy1no004dita0vfgbsfvi; .AspNet.ApplicationCookie=matjucXY-gSVq1i6CcBMfN3cg6-i3fe7IdVQvDSVwQ0IN42etzHz22AZtXTY9GswTO_qiPiqphkAzt6eqxSJ9KKgW7sERXc7RVToJNHQEkifnCYQzckqGYPxwL4cAkZnJPBnJfJNWkzEImaimbO-cBLIE8LZs_dMsLddPpLv0w_wv1oei7y3vc97WYOzA7Nyl8D3js7wXffUEC1rfrtwaR1mcvNDWQvzlxqgZ6BA89d8RLlw01V30FibqQZB96zAaJkuyUDeZzc952D8w-PYg_c77zfyNQCHlCKJaWGLPsmiFlAMEenWrjkBS2iQvZS-5BHKhcV09c4z7REwbekhfB6d9kveeMDOxBHjrv1XEuLPUG9FnsTnTp8HWXF6pVuKhcVMBDj5n3oxL3VoXw33srJFrJZuxGaLsFg6ochivgteHNaW2MvrGsL3aX-PFqOQwJsRkw4633DBiCZjTNy3GbVD2lTH42bVgH0YmLtiK4_bioKJwlaYYjqDiHZOUmvQg0G9NOLVBiXsLAFsZ0K0pA; ss-id=w3bSlTaZ12TMsPmY5E1E,Host:""localhost:51716"",Referer:""http://localhost:51716/swagger-ui/"",User-Agent:""Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36""}","{}","{AspSessionIDManagerInitializeRequestCalled:True,__route:ServiceStack.Host.RestPath,_requestDurationStopwatch:System.Diagnostics.Stopwatch,_logged:True}",,,,,,PT0.0198774S,
10,2019-07-03T07:12:05.35Z,200,OK,GET,http://localhost:51716/resource/UploadBatchAttachment,/resource/UploadBatchAttachment,,"{name:UploadBatchAttachment}",,w3bSlTaZ12TMsPmY5E1E,::1,,http://localhost:51716/swagger-ui/,"{Connection:keep-alive,Accept:""application/json;charset=utf-8,*/*"",Accept-Encoding:""gzip, deflate, br"",Accept-Language:""zh-CN,zh;q=0.9"",Cookie:ss-pid=PkfTWmLvg8l6Dm1UuNGj; ASP.NET_SessionId=jxccy1no004dita0vfgbsfvi; .AspNet.ApplicationCookie=matjucXY-gSVq1i6CcBMfN3cg6-i3fe7IdVQvDSVwQ0IN42etzHz22AZtXTY9GswTO_qiPiqphkAzt6eqxSJ9KKgW7sERXc7RVToJNHQEkifnCYQzckqGYPxwL4cAkZnJPBnJfJNWkzEImaimbO-cBLIE8LZs_dMsLddPpLv0w_wv1oei7y3vc97WYOzA7Nyl8D3js7wXffUEC1rfrtwaR1mcvNDWQvzlxqgZ6BA89d8RLlw01V30FibqQZB96zAaJkuyUDeZzc952D8w-PYg_c77zfyNQCHlCKJaWGLPsmiFlAMEenWrjkBS2iQvZS-5BHKhcV09c4z7REwbekhfB6d9kveeMDOxBHjrv1XEuLPUG9FnsTnTp8HWXF6pVuKhcVMBDj5n3oxL3VoXw33srJFrJZuxGaLsFg6ochivgteHNaW2MvrGsL3aX-PFqOQwJsRkw4633DBiCZjTNy3GbVD2lTH42bVgH0YmLtiK4_bioKJwlaYYjqDiHZOUmvQg0G9NOLVBiXsLAFsZ0K0pA; ss-id=w3bSlTaZ12TMsPmY5E1E,Host:""localhost:51716"",Referer:""http://localhost:51716/swagger-ui/"",User-Agent:""Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36""}","{}","{AspSessionIDManagerInitializeRequestCalled:True,__route:ServiceStack.Host.RestPath,_requestDurationStopwatch:System.Diagnostics.Stopwatch,_logged:True}",,,,,,PT0.0199149S,
